	name	place_id	types	geometry.location.lat	geometry.location.lng	opening_hours.open_now	formatted_address	price_level	main_type
45	Genius Clothing and Footwear	ChIJYYlV1hJJXEgRDaqIpdPVim4	shoe_store|point_of_interest|clothing_store|store|establishment	53.3422919	-6.261415899999999	False	6a, Powerscourt Townhouse Centre, Clarendon Street, Dublin		clothing_store
46	COS	ChIJ10Wuf5sOZ0gRmbHelPo6oS4	clothing_store|point_of_interest|store|establishment	53.342871	-6.260383999999999	True	6-8 Wicklow St, Dublin, D02 EK19		clothing_store
47	AllSaints	ChIJ3b9Kd44OZ0gRHK_d-sEqPWw	clothing_store|shoe_store|point_of_interest|store|establishment	53.3421181	-6.2618305	False	59 William St S, Dublin	3.0	clothing_store
48	Little Black Dress	ChIJu9uPXZwOZ0gRVXuuq9v1x1g	clothing_store|point_of_interest|store|establishment	53.3424902	-6.262440799999999	False	12 William St S, Dublin		clothing_store
49	Superdry	ChIJk74eZZsOZ0gRHX1ZK6eXPIU	clothing_store|point_of_interest|store|establishment	53.3436804	-6.2600718	False	6-10 Suffolk St, Dublin, D02 X854	3.0	clothing_store
50	Aran Sweater Market	ChIJRZ0Na5sOZ0gRg80zSFOYBsw	clothing_store|point_of_interest|store|establishment	53.34393919999999	-6.2593643	False	115 Grafton Street, Dublin 2, D02 XK03		clothing_store
51	Fresh Cuts Clothing	ChIJLWMGYZwOZ0gRIOY5Df7TtQ0	clothing_store|point_of_interest|store|establishment	53.3423031	-6.2630241	False	13 Castle Market, Dublin, D02 XH05		clothing_store
52	Om Diva	ChIJee4QV5wOZ0gROB76tSXtT1w	clothing_store|jewelry_store|point_of_interest|store|establishment	53.3423913	-6.2633902	False	27 Drury St, Dublin 2, D02 TK75		clothing_store
53	Patagonia Dublin	ChIJISjK0PEMZ0gR3GZmVWEQ1e0	clothing_store|point_of_interest|store|establishment	53.3430282	-6.262690699999999	False	24-26 Exchequer St, Dublin 2, D02 X996		clothing_store
54	H&M	ChIJh8MQoJwOZ0gRjLo8r6yIHek	clothing_store|point_of_interest|store|establishment	53.344137	-6.261118	False	24-27 College Green, Dublin, D02 E198	1.0	clothing_store
55	One Plus One Clothing	ChIJC1Ok6vEPZ0gRqMPaufNeOWc	clothing_store|point_of_interest|store|establishment	53.3353729	-6.2657573	True	One Plus One Clothing, 77 Camden Street Lower, Saint Kevin's, Dublin, D02 XE80		clothing_store
56	Fresh Limited	ChIJR6OdtpwOZ0gRx9tihdhrD7U	clothing_store|point_of_interest|store|establishment	53.3450238	-6.262666599999999	False	1 Crown Alley, Temple Bar, Dublin, D02 NP03		clothing_store
57	Flip Clothing	ChIJvxFpz5wOZ0gR8omK4tFuMTU	clothing_store|point_of_interest|store|establishment	53.3447215	-6.263437799999999	False	4 Fownes Street Upper, Temple Bar, Dublin 2, D02 Y798		clothing_store
58	Rebel Rebel Alternative Apparel	ChIJHWY2xZwOZ0gRCL-65QRtpFo	clothing_store|point_of_interest|store|establishment	53.344626	-6.263834	False	3 Crow St, Temple Bar, Dublin, D02 TN34		clothing_store
59	9 Crow Street Vintage Fashion	ChIJs8sezpwOZ0gRYNHVvBRaY24	clothing_store|point_of_interest|store|establishment	53.34483789999999	-6.263904999999999	False	9 Crow St, Temple Bar, Dublin, D02 HX78		clothing_store
