	name	place_id	types	geometry.location.lat	geometry.location.lng	main_type
0	St Joseph's Parade, stop 11	ChIJMSdRCX4OZ0gRxv1dnds0h6s	bus_station|transit_station|point_of_interest|establishment	53.3570923	-6.264411699999999	bus_station
1	Arbour Hill, Prussia Street	ChIJDRlb_cwNZ0gRR1a0X_t03as	bus_station|transit_station|point_of_interest|establishment	53.356918	-6.288591499999999	bus_station
2	Drumcondra Rail Stn, stop 17	ChIJmSfDSnsOZ0gRb03ekP3KbDc	bus_station|transit_station|point_of_interest|establishment	53.3629171	-6.258435899999999	bus_station
3	Drumcondra Station, stop 100121	ChIJn0ely2QOZ0gRq0HEOEfo62s	bus_station|transit_station|point_of_interest|establishment	53.3630696	-6.258414699999999	bus_station
4	Church Street Upper, stop 1614	ChIJmy44ySsMZ0gRL7JGa1JdXK0	bus_station|transit_station|point_of_interest|establishment	53.3511978	-6.2737015	bus_station
5	Rotunda, Parnell Street	ChIJdWzQ5IYOZ0gRxajOykKlqV8	bus_station|transit_station|point_of_interest|establishment	53.3531318	-6.2604724	bus_station
6	Dublin, Cathal Brugha Street	ChIJN2nOjIYOZ0gRDc9twNLZh64	bus_station|transit_station|point_of_interest|establishment	53.3522532	-6.2598923	bus_station
7	Broombridge Station, stop 828	ChIJRefWz8ANZ0gRTPsj-OrqVso	bus_station|transit_station|point_of_interest|establishment	53.3710448	-6.299748699999999	bus_station
8	Broombridge Station, stop 7672	ChIJtfn5HMENZ0gRaa5VUiP4COY	bus_station|transit_station|point_of_interest|establishment	53.3724256	-6.298882100000001	bus_station
9	St Michan's Church, stop 1616	ChIJ5_2i1ygMZ0gRYB94jBe1Jm8	bus_station|transit_station|point_of_interest|establishment	53.3473225	-6.275078499999998	bus_station
