	name	place_id	types	geometry.location.lat	geometry.location.lng	formatted_address	main_type
0	St Michan's Church, stop 1616	ChIJ5_2i1ygMZ0gRYB94jBe1Jm8	bus_station|transit_station|point_of_interest|establishment	53.3473225	-6.275078499999998		bus_station
1	Church Street Upper, stop 1614	ChIJmy44ySsMZ0gRL7JGa1JdXK0	bus_station|transit_station|point_of_interest|establishment	53.3511978	-6.2737015		bus_station
2	Ormond Quay Upper, stop 1480	ChIJdW8MbigMZ0gRqfDilc0PVRo	bus_station|transit_station|point_of_interest|establishment	53.3457605	-6.270842500000001		bus_station
3	Francis St Junc, stop 1999	ChIJx_OAvyUMZ0gRKUS_5cc0bRU	bus_station|transit_station|point_of_interest|establishment	53.34306369999999	-6.276670899999998		bus_station
4	Thomas Street, stop 1938	ChIJFbwnvyUMZ0gRHr1YNv9kkWQ	bus_station|transit_station|point_of_interest|establishment	53.3428962	-6.2766617		bus_station
5	James Street, stop 1940	ChIJFxLcfDoMZ0gREk7Dj5DEs-k	bus_station|transit_station|point_of_interest|establishment	53.34345020000001	-6.285634500000001		bus_station
6	St. Catherine's Close	ChIJX0AIQSQMZ0gRvpqth_IDIko	bus_station|transit_station|point_of_interest|establishment	53.340757	-6.276321299999999		bus_station
7	Wicklow Court	ChIJLZcdsJ0OZ0gRde6fXsdryvI	bus_station|transit_station|point_of_interest|establishment	53.34365820000001	-6.2645797		bus_station
8	Heuston Station	ChIJBSc-4jYMZ0gRLgeyd-RtawI	bus_station|transit_station|point_of_interest|establishment	53.346619	-6.291963000000001		bus_station
9	Heuston Station, Victoria Quay	ChIJKR3B4zYMZ0gR8cWXYkd3Qx8	bus_station|transit_station|point_of_interest|establishment	53.34676579999999	-6.2920335		bus_station
10	Patrick's Cathedral, stop 2383	ChIJr6SptCYMZ0gRIOBj0VIVlfU	bus_station|transit_station|point_of_interest|establishment	53.33939519999999	-6.272686299999999		bus_station
11	Rotunda, Parnell Street	ChIJdWzQ5IYOZ0gRxajOykKlqV8	bus_station|transit_station|point_of_interest|establishment	53.3531318	-6.2604724		bus_station
12	Dublin, Cathal Brugha Street	ChIJN2nOjIYOZ0gRDc9twNLZh64	bus_station|transit_station|point_of_interest|establishment	53.3522532	-6.2598923		bus_station
13	Arbour Hill, Prussia Street	ChIJDRlb_cwNZ0gRR1a0X_t03as	bus_station|transit_station|point_of_interest|establishment	53.356918	-6.288591499999999		bus_station
14	Whitefriars Street, stop 1355	ChIJTarw450OZ0gRDsXr4O8j_u0	bus_station|transit_station|point_of_interest|establishment	53.3400962	-6.265838799999999		bus_station
15	St Joseph's Parade, stop 11	ChIJMSdRCX4OZ0gRxv1dnds0h6s	bus_station|transit_station|point_of_interest|establishment	53.3570923	-6.264411699999999		bus_station
16	Dublin City South, O'Connell Bridge House	ChIJHQXo3oQOZ0gR7sYA5v1SfWo	bus_station|transit_station|point_of_interest|establishment	53.3466922	-6.258346400000001		bus_station
17	Dublin, Clifton Court Hotel	ChIJiewbBIUOZ0gRRHA3IkzuFY4	bus_station|transit_station|point_of_interest|establishment	53.3479612	-6.257844		bus_station
18	Abbey Street, stop 7591	ChIJu4uAooUOZ0gRKruhRgmGUYM	bus_station|transit_station|point_of_interest|establishment	53.3489114	-6.256879299999999		bus_station
19	Dublin City South, Burgh Quay, stop 339	ChIJecKlFoUOZ0gRhaPqdIAC4Bc	bus_station|transit_station|point_of_interest|establishment	53.34731129999999	-6.256792099999999		bus_station
20	Pearse St Garda Stn	ChIJr-HnzJoOZ0gRnsP32-WUsYo	bus_station|transit_station|point_of_interest|establishment	53.3455312	-6.2566669	Dublin	bus_station
21	Moland Street, stop 1184	ChIJgTHsSY8OZ0gRV74Ka-wdVY4	bus_station|transit_station|point_of_interest|establishment	53.35076979999999	-6.253899199999999	Mountjoy, Dublin 1	bus_station
22	Pearse Street, stop 7588	ChIJ8SI1ppoOZ0gRybV05VzMAX4	bus_station|transit_station|point_of_interest|establishment	53.3449502	-6.2539196	Dublin	bus_station
23	Connolly Station, stop 135121	ChIJ62j5xo4OZ0gRO2XuAqo4ezw	bus_station|transit_station|point_of_interest|establishment	53.3503316	-6.2504407	North Dock, Dublin 1	bus_station
24	Camden Street Lower, stop 1352	ChIJ6SFM_58OZ0gRMM9hnC8prVk	bus_station|transit_station|point_of_interest|establishment	53.3344454	-6.265407199999999	Saint Kevin's, Dublin 8	bus_station
25	Drumcondra Station, stop 100121	ChIJn0ely2QOZ0gRq0HEOEfo62s	bus_station|transit_station|point_of_interest|establishment	53.3630696	-6.258414699999999	Botanic, Dublin	bus_station
