	name	place_id	types	geometry.location.lat	geometry.location.lng	price_level	opening_hours.open_now	formatted_address	main_type
42	School	ChIJtfWsDqIPZ0gRm4q33dNojts	school|point_of_interest|establishment	53.3480978	-6.2604751			73 Middle Abbey St, North City, Dublin 1, D01 P6C6	school
43	School of Histories and Humanities, Arts Building, Trinity College Dublin	ChIJR7bZ_ZoOZ0gREyRsNAZsxr8	school|point_of_interest|establishment	53.3432962	-6.2571341		False	Dublin	school
44	Frances King School of English	ChIJ1_nAuZYOZ0gRv4gq6cgiqns	school|point_of_interest|establishment	53.340175	-6.247353899999999		False	26 Merrion Square N, Dublin 2	school
45	Nursery School	ChIJzbCKuYcOZ0gRle89HkuBh5A	school|point_of_interest|establishment	53.354622	-6.2595534			49-50 Hill St, Rotunda, Dublin 1, D01 H0X6	school
46	Erin School of English	ChIJD09OIJ0OZ0gREpQ99qQ1msU	school|point_of_interest|establishment	53.3547569	-6.2607161		False	43 N Great George's St, Rotunda, Dublin, D01 N6P2	school
47	St Columba’s school	ChIJXSSOShwPZ0gRT_JHhWjURCE	school|point_of_interest|establishment	53.3585356	-6.2422739			Waterloo Ave, Ballybough, Dublin	school
48	Hedley Park Montessori School	ChIJZ8JlHJcOZ0gRIiZCJ44GAVI	primary_school|school|point_of_interest|establishment	53.3387782	-6.2496275		False	67 Merrion Square S, Dublin 2, D02 CK11	school
49	The School of Jewellery Ireland	ChIJ04wGLssNZ0gR4LGLlJXAKng	school|point_of_interest|establishment	53.3409544	-6.2586932		False	19 Anne St S, Dublin 2, D02 YY83	school
50	Academic Bridge - English School	ChIJ_aQTeYcOZ0gRvNNIGLewtJA	school|point_of_interest|establishment	53.3558601	-6.260481800000001		False	33 Gardiner Pl, Rotunda, Dublin 1, D01 W625	school
51	School	ChIJl2z5rdgPZ0gRF57smEbdZ1E	school|point_of_interest|establishment	53.3558697	-6.260476300000001			33 Gardiner Pl, Rotunda, Dublin, D01 W625	school
52	St. Columba's National School	ChIJW_PBwl8OZ0gRXmztQ5HliiE	school|point_of_interest|establishment	53.3586365	-6.241667199999999			Waterloo Ave, N Strand Rd, Ballybough, Dublin, D03 NH34	school
53	The Georgian Montessori Primary School	ChIJKwMeN30OZ0gRwSDT7I6jM90	school|point_of_interest|establishment	53.3580441	-6.2578138		False	40 Belvedere Pl, Mountjoy, Dublin, D01 W3W5	school
54	Gardiner Street School	ChIJi2XDFX0OZ0gRfCJB7ntjD60	school|point_of_interest|establishment	53.357882	-6.25894		False	6 Belvedere Court, Mountjoy, Dublin	school
55	School of the g	ChIJS4I3BKEPZ0gRnJchdDU_4zg	school|point_of_interest|establishment	53.3598164	-6.2567648			6-8 Williams Place Lower, Ballybough, Dublin 1, D01 F8Y1	school
56	High Schools International Limited	ChIJWeWJTZ0OZ0gRulImyVpELvU	school|point_of_interest|establishment	53.34489050000001	-6.2672447			Castle River House, Parliament St, Temple Bar, Dublin	school
57	St. Joseph's Co-Educational National School	ChIJ_d2VY_cOZ0gRMWvZ2kQa8D0	school|point_of_interest|establishment	53.354366	-6.2285321			126 E Wall Rd, East Wall, Dublin 3, D03 K220	school
58	Scoil Chaitríona Baggot Street	ChIJodC9I5YOZ0gRrqpJaeuSMR4	school|primary_school|point_of_interest|establishment	53.3362052	-6.246258399999999			59 Baggot Street Lower, Dublin 2, D02 H365	school
59	Catherine McAuley National School	ChIJryKkD5YOZ0gRDoJRmavAXQk	school|point_of_interest|establishment	53.3359389	-6.2458258			Baggot Street Lower, Dublin 2	school
