	name	place_id	price_level	types	geometry.location.lat	geometry.location.lng	opening_hours.open_now	main_type
0	The Bernard Shaw	ChIJZf8Yh6AOZ0gRhewFFltjO2k	2.0	art_gallery|cafe|bar|food|point_of_interest|establishment	53.3646909	-6.271209799999999	False	art_gallery
1	Súileir	ChIJg6v-zZANZ0gRnAVsfV1eSlM		art_gallery|point_of_interest|store|establishment	53.3598505	-6.2725135	False	art_gallery
3	13 North Great George's Street Space	ChIJx8IoEocOZ0gRu8fZIosdtD0		art_gallery|point_of_interest|establishment	53.3544789	-6.261017499999999		art_gallery
4	The Hugh Lane	ChIJE42FqWAMZ0gRhDMWDRn7ksw		art_gallery|tourist_attraction|museum|point_of_interest|establishment	53.35417629999999	-6.2646519	False	art_gallery
5	darc space gallery	ChIJ0X-yAYcOZ0gR9kfpJ9PxsTQ		art_gallery|point_of_interest|establishment	53.35365969999999	-6.260007999999999		art_gallery
6	Loom Studios	ChIJa1IPvCoMZ0gRyagGkvtCXGA		art_gallery|point_of_interest|establishment	53.3545562	-6.2718679	False	art_gallery
7	Hillsboro Fine Art	ChIJGwKZOYEOZ0gRmacXXoTTsqc		art_gallery|point_of_interest|establishment	53.3522682	-6.264139399999999		art_gallery
8	Pass Freely	ChIJV1p1QNwPZ0gRAa6GVBe__V4		art_gallery|point_of_interest|establishment	53.3520292	-6.261466100000001		art_gallery
9	Oonagh Young Gallery	ChIJU0sVxogOZ0gRWj8YvLhDG0E		art_gallery|point_of_interest|establishment	53.35165909999999	-6.253334499999999	False	art_gallery
10	The LAB	ChIJa0qwzYgOZ0gRRALPZAbW55o		art_gallery|point_of_interest|establishment	53.35156039999999	-6.252930999999998	False	art_gallery
11	Coles Lane Gallery	ChIJO3qRV4EOZ0gR5_OoM6x2Zu8		art_gallery|point_of_interest|establishment	53.3508424	-6.2633571		art_gallery
12	The Talbot Gallery & Studios	ChIJg-AutI4OZ0gRxDiq1qTAFe8		art_gallery|point_of_interest|establishment	53.35123489999999	-6.250373499999998		art_gallery
13	In-spire Galerie Dublin	ChIJ8Z6jao8OZ0gRYbXveJjVI8E		art_gallery|point_of_interest|establishment	53.3498512	-6.2535411	False	art_gallery
14	Stoney Road Press - Fine Art Prints	ChIJ02XCYV8OZ0gRXNYr1PQUMfg		art_gallery|point_of_interest|establishment	53.3581175	-6.2370429	False	art_gallery
15	The Market Studios	ChIJtTVplCkMZ0gRIYxf10SnfDM		art_gallery|point_of_interest|establishment	53.3492481	-6.271252		art_gallery
16	Sol Art Gallery	ChIJ4ShjsJsOZ0gRu7B_rdduwf8		art_gallery|point_of_interest|establishment	53.3462159	-6.2583541	False	art_gallery
17	The Icon Factory & The Icon Walk	ChIJq2EtpYQOZ0gRDbZ7QNj-luQ		art_gallery|point_of_interest|establishment	53.346171	-6.260722099999999	False	art_gallery
18	Damn Fine Print	ChIJaSPH_i4MZ0gR_hOqCAFL0rQ		art_gallery|point_of_interest|establishment	53.3506568	-6.280290699999998	False	art_gallery
