	name	place_id	price_level	types	geometry.location.lat	geometry.location.lng	opening_hours.open_now	main_type
0	Argos Dublin Jervis Street	ChIJp5v9-YIOZ0gRmnQDxNDR7nc	2.0	department_store|jewelry_store|electronics_store|furniture_store|home_goods_store|point_of_interest|clothing_store|store|establishment	53.34823779999999	-6.2661793	True	department_store
1	Carraig Donn Jervis	ChIJnShz_4IOZ0gRjUklgFnsl3A		department_store|point_of_interest|store|establishment	53.3487209	-6.265780700000001	True	department_store
2	Marks and Spencer	ChIJ19axsIMOZ0gRsz4tFcp1RAs	2.0	supermarket|department_store|convenience_store|grocery_or_supermarket|food|point_of_interest|clothing_store|store|establishment	53.3488949	-6.264739799999999	True	department_store
3	The Fashion Stage	ChIJ40O1eIMOZ0gRZImg64Vm4ac		department_store|point_of_interest|store|establishment	53.3479405	-6.2623365	False	department_store
4	Arnotts	ChIJ9wcNE4QOZ0gRfvZo4ZTxlOU		department_store|shoe_store|furniture_store|home_goods_store|point_of_interest|clothing_store|store|establishment	53.3491377	-6.2631308	True	department_store
5	Dunnes Stores - Henry Street	ChIJs-s79YMOZ0gRuedHUMYPupE		department_store|supermarket|grocery_or_supermarket|cafe|food|point_of_interest|clothing_store|store|establishment	53.3497637	-6.2633135	True	department_store
6	Argos Ilac Centre (Dublin)	ChIJrxbk3IMOZ0gRr_atohQddkU	2.0	department_store|jewelry_store|electronics_store|furniture_store|home_goods_store|point_of_interest|clothing_store|store|establishment	53.35044440000001	-6.264601100000001	True	department_store
7	TK Maxx	ChIJ-7IJ44MOZ0gR9KyXJ4KrMZM	1.0	department_store|point_of_interest|store|establishment	53.35049230000001	-6.2635367	True	department_store
8	Brown Thomas Dublin	ChIJo8CUnJsOZ0gRsRsxHKkaTKU		department_store|point_of_interest|store|establishment	53.3424295	-6.259930999999999	True	department_store
9	Marks and Spencer	ChIJERvGmpsOZ0gR2DQz5W_YgYw	2.0	supermarket|department_store|convenience_store|grocery_or_supermarket|food|point_of_interest|clothing_store|store|establishment	53.3422196	-6.2594935	True	department_store
10	Guineys	ChIJXbJ9zIUOZ0gRu6E4Itvf-Zg		department_store|furniture_store|home_goods_store|point_of_interest|clothing_store|store|establishment	53.3500019	-6.258614800000002	True	department_store
11	Guineys	ChIJsYbzV48OZ0gRq3mGVBAGHeE		home_goods_store|department_store|point_of_interest|store|establishment	53.3500118	-6.2585462	True	department_store
12	Argos St Stephens Green (Dublin)	ChIJsyB-8ZkOZ0gRpS-7x0QDZY8	2.0	department_store|jewelry_store|electronics_store|furniture_store|home_goods_store|point_of_interest|clothing_store|store|establishment	53.3401991	-6.262872499999999	True	department_store
13	Dunnes Stores	ChIJ6zHtjzoMZ0gRa02otqbUo6Q		department_store|supermarket|grocery_or_supermarket|cafe|food|point_of_interest|clothing_store|store|establishment	53.3400719	-6.263209799999998	True	department_store
14	TK Maxx	ChIJcwSBJ5wOZ0gRR4V2TmRLun0	1.0	department_store|point_of_interest|store|establishment	53.3397379	-6.261773499999999	True	department_store
15	Guineys	ChIJsYbzV48OZ0gRTapqqrqAazI		department_store|furniture_store|home_goods_store|point_of_interest|clothing_store|store|establishment	53.3504154	-6.2553803	True	department_store
16	Kilkenny Shop	ChIJ1eKCQpoOZ0gRC95WPSY_n-A		department_store|cafe|food|point_of_interest|store|establishment	53.3421558	-6.2553189	True	department_store
17	manor	ChIJfR6Fji0MZ0gRaTCzW3zz4rA		department_store|point_of_interest|store|establishment	53.3513988	-6.2831713		department_store
18	Marks and Spencer	ChIJ1RqODo0OZ0gR2wQxWR7VjAc	2.0	supermarket|department_store|convenience_store|grocery_or_supermarket|food|point_of_interest|clothing_store|store|establishment	53.3489101	-6.2437814	True	department_store
19	Marks and Spencer	ChIJ-3Zy_zYMZ0gRYsVNNGtOzr0	2.0	supermarket|department_store|convenience_store|grocery_or_supermarket|food|point_of_interest|clothing_store|store|establishment	53.34642720000001	-6.294218600000001	True	department_store
