	name	place_id	price_level	types	geometry.location.lat	geometry.location.lng	opening_hours.open_now	formatted_address	main_type
0	147 Deli	ChIJObiq_4YOZ0gRJpME3Zr3CQ8	2.0	restaurant|food|point_of_interest|establishment	53.3534725	-6.2598377	False		restaurant
1	潮福城	ChIJfzNM-YYOZ0gRZ5PrheR6n18		restaurant|food|point_of_interest|establishment	53.3534383	-6.259837000000001	False		restaurant
2	Salsa - Parnell Street	ChIJ1cGBJSYPZ0gR5hmzqZxzw4w		restaurant|food|point_of_interest|establishment	53.3536855	-6.259342699999999			restaurant
3	Salsa - Authentic Mexican Food & Bar	ChIJnVnq77APZ0gRpv2wTSA5MIw		restaurant|food|point_of_interest|establishment	53.3536369	-6.2592875			restaurant
4	Boba bar	ChIJcboI3OkPZ0gRpzXoSBveulo		restaurant|food|point_of_interest|establishment	53.35373070000001	-6.2590786	False		restaurant
5	Dera Restaurant Dublin	ChIJIRhVrIcOZ0gRy-b614kxH2k	2.0	restaurant|food|point_of_interest|establishment	53.35381399999999	-6.2590602	False		restaurant
6	Heping Restaurant	ChIJIRhVrIcOZ0gRHKvv7hG_fwg		restaurant|food|point_of_interest|establishment	53.35384850000001	-6.259057299999999			restaurant
7	Mosa Tea/Restaurant	ChIJj7LErIcOZ0gRqlBx7hrLEwM	2.0	restaurant|food|point_of_interest|establishment	53.3537214	-6.2590571	False		restaurant
8	BITES By Kwanghi	ChIJMeglWHkPZ0gRy0XSAhmCJAE		restaurant|food|point_of_interest|establishment	53.353343	-6.2593932	False		restaurant
10	Chinatown House	ChIJGaMTrYcOZ0gR9U7GxZhtiC0		restaurant|food|point_of_interest|establishment	53.35378899999999	-6.258943199999999			restaurant
11	Sichuan Chilli King	ChIJRyJAU4YOZ0gRcbfuyNZ4v7M	1.0	restaurant|food|point_of_interest|establishment	53.35353860000001	-6.2590006	False		restaurant
12	Lee Kee	ChIJV7-sU4YOZ0gRxnPRcx_3Ft0		restaurant|food|point_of_interest|establishment	53.35355550000001	-6.258906000000001	True		restaurant
13	Lao Chinese and Korean BBQ Restaurant	ChIJLzxHTYYOZ0gRdx_6zjuCnes	2.0	restaurant|food|point_of_interest|establishment	53.35361520000001	-6.258820900000001	False		restaurant
14	Han Yang Korean Restaurant	ChIJh7aqsocOZ0gRKTqC15csf3Y	2.0	restaurant|food|point_of_interest|establishment	53.3536355	-6.2587022	False		restaurant
15	唐人街	ChIJTfMly_APZ0gR5PrfeDczJqQ		restaurant|food|point_of_interest|establishment	53.35374729999999	-6.2586715	False		restaurant
