	name	place_id	types	geometry.location.lat	geometry.location.lng	formatted_address	opening_hours.open_now	main_type
40	Hôtel Villa Rose	ChIJ3fgGlv3PzRIRZnhBrEnd3cM	lodging|point_of_interest|establishment	43.714715	7.258164799999999	43 Av. Bellevue, 06100 Nice	True	lodging
41	Villa Saphir	ChIJswGqugLQzRIRNcm4jn1DeOY	lodging|point_of_interest|establishment	43.7129353	7.255320599999999	34 Bd de Cessole, 06100 Nice		lodging
42	Hotel Annexe Nice	ChIJ-wOyOwfQzRIRN9lijB2VX8M	lodging|point_of_interest|establishment	43.7075679	7.263263800000001	15 Av. Malaussena, 06000 Nice		lodging
43	Hotel Lausanne	ChIJScZV_n7bzRIR--Cif4DjdIs	lodging|point_of_interest|establishment	43.7078029	7.268156299999999	36 Rue Rouget de l'Isle, 06000 Nice		lodging
44	Chambre d hôtes maison bonfils	ChIJqzJMv6nazRIRoxxk6w_073E	lodging|point_of_interest|establishment	43.7066642	7.266720299999999	26 Bd Raimbaldi, 06000 Nice	True	lodging
45	Chez Josephine	ChIJvSboz6nazRIRdtr6rUr5ZWI	lodging|point_of_interest|establishment	43.7063738	7.2659625	36 Bd Raimbaldi, 06000 Nice	True	lodging
46	Hôtel Darcy	ChIJAcyyjQfQzRIRqVL_YvCnl1E	lodging|point_of_interest|establishment	43.7049021	7.264843300000001	28 Rue d'Angleterre, 06000 Nice		lodging
47	Hostel Harold's Backpackers	ChIJb-W98gfQzRIRyodIsMzg9Ig	lodging|point_of_interest|establishment	43.7047317	7.2648312	28 Rue d'Angleterre, 06000 Nice		lodging
48	Hotel 66 Nice	ChIJ4_zv6QfQzRIRoLoc3I80zZc	lodging|point_of_interest|establishment	43.7045943	7.264493000000001	6 Rue de Belgique, 06000 Nice	True	lodging
49	Best Western Plus Nice Cosy Hotel	ChIJbdxl7QfQzRIRfww4sR3T00A	lodging|point_of_interest|establishment	43.7044945	7.2645464	3 Rue de Belgique, 06000 Nice	True	lodging
50	Hôtel Marly's	ChIJ5X22V6jazRIRRlIxSPj5UVk	lodging|point_of_interest|establishment	43.70521309999999	7.268041999999999	4 Rue Miron, 06000 Nice		lodging
51	Azuréa	ChIJ0zCFwgfQzRIRj9ObzIYBK0Q	lodging|point_of_interest|establishment	43.70429610000001	7.2637071	31 Rue Paganini, 06000 Nice		lodging
52	Interlaken	ChIJ0YeWMgbQzRIRf6-AJz51JNY	lodging|point_of_interest|establishment	43.7041301	7.262559700000001	26 Av. Durante, 06000 Nice		lodging
53	Hôtel Bristol	ChIJFVSbwQfQzRIRK_GbO5k-VsE	lodging|point_of_interest|establishment	43.7042696	7.2638883	22 Rue Paganini, 06000 Nice	True	lodging
54	Nice Art Hotel	ChIJjX0j7gfQzRIRzpnFqGDHoLg	lodging|point_of_interest|establishment	43.7042726	7.264430099999998	35 Rue d'Angleterre, 06000 Nice		lodging
55	Hôtel Plaisance Nice	ChIJp7OEW6jazRIRnPyHzDDY1R4	lodging|point_of_interest|establishment	43.7048381	7.2673855	20 Rue de Paris, 06000 Nice		lodging
56	Hôtel du Midi	ChIJ0zCFwgfQzRIRh6zSae52IQc	lodging|point_of_interest|establishment	43.703954	7.2630971	16 Rue d'Alsace-Lorraine, 06000 Nice	True	lodging
57	Hôtel Paganini	ChIJx_hO0QfQzRIRyob-Cc-OYi4	lodging|point_of_interest|establishment	43.703874	7.2629787	20 Rue d'Alsace-Lorraine, 06000 Nice	True	lodging
58	Hotel Saint Gothard	ChIJAQFa3QfQzRIRv8X8f84kva4	lodging|point_of_interest|establishment	43.7039551	7.263925299999999	20 Rue Paganini, 06000 Nice	True	lodging
59	Hotel D'Ostende	ChIJ6V_V9wfQzRIRhBxZ9j-gQJY	lodging|point_of_interest|establishment	43.7040703	7.2651869	3 Rue d'Alsace-Lorraine, 06000 Nice	True	lodging
