	name	place_id	price_level	types	geometry.location.lat	geometry.location.lng	opening_hours.open_now	formatted_address	main_type
43	Le Tian Restaurant	ChIJ7eaBaYHbzRIRKWKJOP_2Zwc		restaurant|food|point_of_interest|store|establishment	43.7035022	7.2655094	False	4 Rue de Suisse, 06000 Nice	restaurant
44	Le Rossini	ChIJkWkWTw7QzRIRKkPIlseJEmk	2.0	restaurant|bar|food|point_of_interest|establishment	43.70104569999999	7.2563678	False	54 Bd Gambetta, 06000 Nice	restaurant
45	Chez Moi	ChIJs53LOAjQzRIRIbdfokg3JhA	1.0	restaurant|food|point_of_interest|establishment	43.7019821	7.264038999999999	False	2 Rue Paganini, 06000 Nice	restaurant
46	La Langouste	ChIJD5kYi6fazRIR0eWOjkunUhY	2.0	restaurant|food|point_of_interest|establishment	43.70197659999999	7.2654767	False	7 Av. Georges Clemenceau, 06000 Nice	restaurant
47	Le Vingt4	ChIJ4_cuzwnQzRIRkZFhzS2qjX4	2.0	bar|restaurant|food|point_of_interest|establishment	43.70032399999999	7.264516	False	24 Rue Alphonse Karr, 06000 Nice	restaurant
48	Restaurant O'Staff	ChIJP9YrqafazRIRwdvBM2h4BfU		restaurant|cafe|bar|food|point_of_interest|establishment	43.7008273	7.2669344	False	5 Rue Paul Déroulède, 06000 Nice	restaurant
49	Poppies	ChIJE8qs-6XazRIR4l2WPkvyspw	1.0	restaurant|food|point_of_interest|establishment	43.7024342	7.271341700000001	True	Pl. Sasserno, 06000 Nice	restaurant
50	Mon Petit Cafe	ChIJI5Hp-wnQzRIRspKCtxwcLZs	3.0	restaurant|food|point_of_interest|establishment	43.6989929	7.264839599999999	False	11bis Rue Grimaldi, 06000 Nice	restaurant
51	L'Ovale	ChIJJ5NnK6TazRIRMjBNEZ6U9Iw	2.0	restaurant|bar|food|point_of_interest|establishment	43.7005955	7.271079799999999	False	29B Rue Pastorelli, 06000 Nice	restaurant
52	Les Sens	ChIJMZ2thqbazRIRSrPmgZskndo	2.0	restaurant|food|point_of_interest|establishment	43.70027779999999	7.2702778	False	37 Rue Pastorelli, 06000 Nice	restaurant
53	le bistrot de jeff	ChIJ2yZUzaXazRIREomHDSiXHag	2.0	bar|restaurant|food|point_of_interest|establishment	43.7006373	7.271404899999999	True	26 Rue Alberti, 06000 Nice	restaurant
54	LE 111 FOOD GARDEN	ChIJEVOh0qzbzRIRW3BlC16L6Nk		restaurant|food|point_of_interest|store|establishment	43.7029477	7.27723	False	1 Rue Gioffredo, 06000 Nice	restaurant
55	L'Atelier	ChIJ-XvwtLrazRIREPXd5wNM-2A		bar|restaurant|food|point_of_interest|establishment	43.701641	7.27624	False	17 Rue Gioffredo, 06000 Nice	restaurant
56	Restaurant Pure & V	ChIJbUiThBLQzRIRS_1yfGa4r64		restaurant|food|point_of_interest|establishment	43.6964647	7.2540783	False	15 Rue Bottero, 06000 Nice	restaurant
57	Taverne Masséna | Maison Cresci	ChIJbQfslqDazRIR2bMeBG_qZjU	2.0	restaurant|food|point_of_interest|establishment	43.69726439999999	7.2662684	False	25 Rue Massena, 06000 Nice	restaurant
58	Smart Delight Room	ChIJo5of8qTazRIRTpFLW3D_ycQ		cafe|restaurant|food|point_of_interest|establishment	43.6994366	7.274082099999999	False	31 Rue Gioffredo, 06000 Nice	restaurant
59	La Cucina	ChIJDStdfQrQzRIRjPK7wwu-L-w		restaurant|food|point_of_interest|establishment	43.6963252	7.264686200000001		9 Rue du Commandant Raffalli, 06000 Nice	restaurant
