,ED_ID,Shape__Area,geometry,art_gallery,atm,bakery,bank,bar,beauty_salon,bus_station,cafe,car_dealer,car_rental,car_repair,car_wash,clothing_store,convenience_store,department_store,doctor,drugstore,electrician,electronics_store,food,furniture_store,gas_station,grocery_or_supermarket,gym,hair_care,hardware_store,health,home_goods_store,hospital,jewelry_store,laundry,liquor_store,local_government_office,lodging,movie_theater,museum,night_club,park,parking,pharmacy,plumber,police,post_office,primary_school,real_estate_agency,restaurant,school,shopping_mall,spa,stadium,store,supermarket,pop,cluster
0,60882705,0.38,"POLYGON ((7.23201312774867 43.69345190622581, 7.231969677002804 43.69346891651155, 7.228395805964191 43.69410358316475, 7.22700483859231 43.69364789658084, 7.22619378750414 43.69268074174951, 7.226521757785538 43.69152177989693, 7.22654561638356 43.69142443359449, 7.226612875589323 43.69067029323688, 7.226606329747708 43.69059845896423, 7.226713660807014 43.6904879552059, 7.225440583222775 43.69018240658444, 7.22395174112454 43.68954356162426, 7.223600439693426 43.68883917418854, 7.224899309836728 43.68567538113422, 7.225042831755569 43.68543281228829, 7.22527930142497 43.68530557642107, 7.225308176444211 43.68536032261975, 7.226467683097611 43.68666870954787, 7.227421274482821 43.68760099750635, 7.229788681488118 43.68849134492014, 7.229881923877922 43.68847600253569, 7.230328346807731 43.68841718054697, 7.23101567245054 43.68837511329194, 7.231069049026585 43.68837483809612, 7.231109672888567 43.68843723587218, 7.231674182357159 43.69011025460512, 7.233096775170968 43.69173184368998, 7.233187872113223 43.69185535373588, 7.233211055869235 43.69193374907291, 7.233214396317969 43.69194533348966, 7.233212198053101 43.69204994834986, 7.233181126273231 43.69220074319851, 7.232864045904336 43.6929006393086, 7.232735833488752 43.69308134839361, 7.232435184032453 43.69328138597544, 7.23201312774867 43.69345190622581))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019,2
1,60881602,0.26,"POLYGON ((7.279015638700331 43.71052448663389, 7.278655695199954 43.71056207891151, 7.279170523788983 43.70899904787343, 7.278782132275072 43.70807232407702, 7.277659293702476 43.70730396252966, 7.276994681524879 43.70708769500437, 7.276990689623841 43.70705090484973, 7.276996002070039 43.70700563839276, 7.277025713188578 43.70693778469648, 7.277062094808027 43.70690931923759, 7.277071600586715 43.70690353845531, 7.277778353277558 43.70640398585586, 7.278656069816511 43.70571566910942, 7.278792008606935 43.7055733453054, 7.278907545859277 43.70537415048935, 7.278924091433504 43.70527977977637, 7.278810686601498 43.70452727612565, 7.278505117043713 43.70313170455847, 7.278332477970771 43.70306550432611, 7.278436810427364 43.70304878311045, 7.279813193260547 43.70276752794678, 7.279950359381977 43.7027414025606, 7.2800694565763 43.70273941812446, 7.280222356568121 43.70295688464704, 7.280383380153229 43.703133479495, 7.280726821321102 43.70360658058438, 7.281174248084767 43.70422427685749, 7.28131808320119 43.70443669236328, 7.281669788078228 43.70495362257461, 7.282758694755888 43.70664005339928, 7.283212387666717 43.70744043185508, 7.283391552650001 43.70784249888495, 7.283415215115976 43.70792627537071, 7.283418376132743 43.70796850513275, 7.283608704010065 43.70860263040683, 7.283918855925474 43.70954293434332, 7.283993580143238 43.70974455311962, 7.283357600658686 43.70981195929557, 7.282357949044976 43.70996667684072, 7.28125511897511 43.71013716204317, 7.280508401687444 43.71025216620786, 7.280160146467862 43.71029651272425, 7.280112107585849 43.71030200805535, 7.279778043668906 43.7103367832489, 7.279013593759715 43.71051375325454, 7.279015638700331 43.71052448663389))",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,3.0,2.0,0.0,0.0,2.0,1.0,2256,2
2,60883001,4.3,"POLYGON ((7.200120910281408 43.66450312750425, 7.199602113793181 43.66430061192618, 7.199262269159032 43.66416867159111, 7.198740871524388 43.66396445054777, 7.19886538088892 43.66366498765316, 7.199424632723866 43.66387765696526, 7.20063487950125 43.6626937213334, 7.201162723627135 43.66122618619955, 7.201250626608969 43.66095246474936, 7.201319612575442 43.66072542953719, 7.201396550509137 43.66035301360078, 7.201466933254346 43.66000968555098, 7.201549698303347 43.65959829804904, 7.201605059560284 43.65928708848817, 7.201654832093155 43.65891662408144, 7.201688346963468 43.65857832601143, 7.201706885045426 43.65817122437294, 7.201722596651095 43.65781018693491, 7.201733504382861 43.65746825790243, 7.201713838427576 43.65709867685784, 7.201672483045895 43.65680562485109, 7.201536140443531 43.65611436716797, 7.201426764930411 43.65572302539123, 7.20132840454902 43.65541415644167, 7.201179518613441 43.65497478349039, 7.201066588796631 43.65468720257392, 7.200951990473157 43.65442761938609, 7.202348820817283 43.65206865963945, 7.203158081948422 43.65147869057835, 7.203551495627866 43.651174676374, 7.203558492220451 43.65066124543391, 7.203504682772845 43.65050293668247, 7.203363675519761 43.6503570123276, 7.201740981159795 43.64917900851439, 7.200668325157043 43.64842754831658, 7.199881424134331 43.64784975112635, 7.199680219743149 43.64766109666174, 7.199551668790884 43.64751558782748, 7.199453958532791 43.64733374511534, 7.199416602083585 43.64712884485056, 7.199438573225382 43.64692075021573, 7.199539061971102 43.64668348946769, 7.200090892249351 43.64623865476268, 7.200811818659627 43.64576475173985, 7.201600963205204 43.64549364847313, 7.202140664541814 43.64550971712925, 7.20524048895394 43.64581687379934, 7.206725194649885 43.64628201173939, 7.209923068830228 43.6481080545731, 7.213531591525665 43.64911162414557, 7.21579605988324 43.65137649096968, 7.217562824761869 43.65264377185753, 7.218823320403658 43.6536919008114, 7.220051328809487 43.65509855932285, 7.220324408048771 43.656547709711, 7.220820546113113 43.65805938255588, 7.221132821952261 43.65897897536742, 7.223211728725596 43.66052736294554, 7.223570652138578 43.66078283822599, 7.223697551648971 43.66083737760153, 7.223772694838854 43.66081283058141, 7.223821826164349 43.66077217392245, 7.223846583167525 43.66009809759975, 7.223832844748897 43.65989498543851, 7.22361746740302 43.65961681106607, 7.223556164041938 43.65955972205923, 7.222418086448969 43.65865150292465, 7.222333734770252 43.65860161661982, 7.222079165864864 43.65846508194846, 7.223813473198998 43.65852157787582, 7.225013318086987 43.65942557920827, 7.225276306210837 43.6596424277087, 7.225450386873241 43.65986543634179, 7.225564731644321 43.66008626235516, 7.225652401868598 43.66033245510479, 7.225706634825826 43.66056282747338, 7.225706810029876 43.6608007086706, 7.225614094187111 43.66124314560801, 7.225596875607447 43.66148080220787, 7.225665121038694 43.66176649757791, 7.225800642753879 43.6620892247485, 7.225933558331583 43.66230932873205, 7.226099516366138 43.66248940059656, 7.226314186774821 43.66265676458971, 7.228467718449368 43.66422018569195, 7.229911707522547 43.66525070917753, 7.229640278713641 43.66918742025605, 7.229626897686412 43.67243633942296, 7.229449801439146 43.67279511112274, 7.229477917586923 43.67332701804163, 7.229828300175859 43.6738351198054, 7.230398297232362 43.67445902505522, 7.230640708759196 43.67471541454965, 7.230545548118064 43.67478850354331, 7.228987409055435 43.67530870365908, 7.228544649464062 43.67544938127123, 7.228496966634551 43.67545934629636, 7.228446077974697 43.67545952390449, 7.228392182575234 43.67545260965115, 7.228351440156185 43.67543887596305, 7.228298494558163 43.67541119938113, 7.228189348594204 43.67521089546083, 7.22806015190838 43.67497442634602, 7.227732917954573 43.67506555144576, 7.227491300132958 43.67515604874369, 7.227386733697243 43.67496728036281, 7.226789660786102 43.67419483061681, 7.226708730344635 43.67409074711627, 7.226647784106599 43.67402193039441, 7.226549810850602 43.67393923487049, 7.226417021353294 43.67383897008826, 7.225645714911954 43.67329586227198, 7.225585455832743 43.67325315021217, 7.224932404213572 43.67279825342874, 7.223315968490033 43.67165270810246, 7.222968582800434 43.67140308687439, 7.22209546807086 43.670774704841, 7.221659012193772 43.66938415078495, 7.22079250848044 43.66874378987366, 7.22032397375083 43.66855113033623, 7.220187993219708 43.66854199346287, 7.218589562557207 43.67010396913211, 7.215895922273314 43.67035307171557, 7.214613633582732 43.67021898450814, 7.214478575835424 43.67022241984131, 7.214274512836153 43.67009787285972, 7.214050050113423 43.66996600674433, 7.213205012569073 43.66965004872972, 7.209355964072942 43.66815291535268, 7.206335296755992 43.66690811144589, 7.203307620829149 43.66569278596948, 7.202975003320422 43.66557499420338, 7.202514919100554 43.6654116704849, 7.20153452600222 43.66504229211806, 7.201111912068167 43.6648820195084, 7.200739088314376 43.66474054548138, 7.200271642242652 43.66456127805129, 7.200120910281408 43.66450312750425))",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,18.0,1.0,14.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,2.0,0.0,580,2
3,60883002,0.16,"POLYGON ((7.219426234858637 43.67235526164928, 7.219372634320494 43.67231859554448, 7.219215434416322 43.67222377586609, 7.219069131192906 43.67214204938237, 7.218917632000648 43.67207404082958, 7.215421976830809 43.67050842181056, 7.215320170448924 43.67047452479493, 7.215259298335954 43.67045706182028, 7.215114876033396 43.67041760880117, 7.214681742586662 43.67030104565027, 7.214595650928162 43.6702782527278, 7.214537519469877 43.67026428744456, 7.214482128261525 43.67025382022634, 7.214431952989744 43.67024675507281, 7.21437454902352 43.67024267348213, 7.214281578080387 43.67024447650925, 7.21423460593586 43.67024719904406, 7.214282551418863 43.67024083440678, 7.214315774960024 43.67023684281115, 7.214416683404419 43.67022481996134, 7.214478575835424 43.67022241984131, 7.214613633582732 43.67021898450814, 7.215895922273314 43.67035307171557, 7.218589562557207 43.67010396913211, 7.220187993219708 43.66854199346287, 7.22032397375083 43.66855113033623, 7.22079250848044 43.66874378987366, 7.221659012193772 43.66938415078495, 7.22209546807086 43.670774704841, 7.222968582800434 43.67140308687439, 7.223315968490033 43.67165270810246, 7.224932404213572 43.67279825342874, 7.225585455832743 43.67325315021217, 7.225512352633267 43.67330555282404, 7.223288630107239 43.6733523375567, 7.222380354016495 43.67276947573599, 7.221892602939952 43.67245141410756, 7.221651403942938 43.67229498189647, 7.22119535723107 43.67200271887335, 7.220533812699341 43.67176033557187, 7.219886906119724 43.67193548778252, 7.219608598976534 43.67218508344735, 7.219426234858637 43.67235526164928))",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2871,2
4,60880901,0.15,"POLYGON ((7.295410882166344 43.73765494267725, 7.295378330992606 43.73760215703238, 7.291815936536036 43.73542942196768, 7.291467720726924 43.7352277771201, 7.291771160037152 43.73453451835749, 7.291796838964192 43.73444609131045, 7.291700985799515 43.73402992488995, 7.292107533285451 43.73394900167225, 7.292368762481197 43.73373683185407, 7.292603705643901 43.73360500199434, 7.295411470933423 43.73395558124371, 7.299438485855281 43.73438858287415, 7.29996535141857 43.73445337210553, 7.301413184514108 43.73463404925929, 7.301409511662339 43.73465131692748, 7.301346283713727 43.73496742804221, 7.301302457450763 43.73514489125142, 7.301269672688863 43.73525432926927, 7.301140347878977 43.73523691264914, 7.300959608676417 43.73521341783623, 7.300606940089351 43.73516788143956, 7.300175911432741 43.73511327527856, 7.299714805605681 43.73505535025424, 7.298080304531049 43.73485498972468, 7.29589854241909 43.73643621837846, 7.295702317642378 43.73681885688685, 7.295464679755943 43.73736173768079, 7.295409662070143 43.73750629620573, 7.295403361023806 43.73762099478841, 7.295410882166344 43.73765494267725))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2375,2
5,60880902,0.16,"POLYGON ((7.298336678535707 43.73949045005658, 7.2982578809814 43.73923582484495, 7.297464051233154 43.73876161980812, 7.296209649571329 43.73821187469044, 7.295841205503735 43.73807232120202, 7.295680115705935 43.73797955178666, 7.295525228925624 43.73783697236154, 7.295410882166344 43.73765494267725, 7.295403361023806 43.73762099478841, 7.295409662070143 43.73750629620573, 7.295464679755943 43.73736173768079, 7.295702317642378 43.73681885688685, 7.29589854241909 43.73643621837846, 7.298080304531049 43.73485498972468, 7.299714805605681 43.73505535025424, 7.300175911432741 43.73511327527856, 7.300606940089351 43.73516788143956, 7.300959608676417 43.73521341783623, 7.301140347878977 43.73523691264914, 7.301269672688863 43.73525432926927, 7.301157232390576 43.73570936566277, 7.301043424200864 43.73700571000807, 7.300807383758032 43.73808159117244, 7.300603926411608 43.73858258092473, 7.300576730390955 43.73858455710342, 7.300270611406394 43.73861287809989, 7.300028187943235 43.73867833289854, 7.299863969743311 43.73879206386367, 7.299702993177984 43.73894892324571, 7.298446119915414 43.73945818971453, 7.298336678535707 43.73949045005658))",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2032,2
6,60880904,0.12,"POLYGON ((7.300603926411608 43.73858258092473, 7.300807383758032 43.73808159117244, 7.301043424200864 43.73700571000807, 7.301157232390576 43.73570936566277, 7.301269672688863 43.73525432926927, 7.301614163937645 43.7352902738867, 7.302877249738123 43.73547643495364, 7.30328059385634 43.73556772243894, 7.303752951225777 43.7356842151267, 7.304397469669206 43.73585877976936, 7.304866545435424 43.73606371376115, 7.305320597088456 43.73628365940026, 7.305981632023223 43.73667745088281, 7.306298952043631 43.73691361866492, 7.306454899416232 43.73705343810417, 7.30676718098488 43.73735468960652, 7.306535299445462 43.73752698322935, 7.306162285464013 43.73780579525634, 7.306024016623248 43.7379338291327, 7.302904991346133 43.7384059879005, 7.30060764417266 43.7385824339698, 7.300603926411608 43.73858258092473))",0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1180,2
7,60880905,0.27,"POLYGON ((7.298336678535707 43.73949045005658, 7.298446119915414 43.73945818971453, 7.299702993177984 43.73894892324571, 7.299863969743311 43.73879206386367, 7.300028187943235 43.73867833289854, 7.300270611406394 43.73861287809989, 7.300576730390955 43.73858455710342, 7.300603926411608 43.73858258092473, 7.30060764417266 43.7385824339698, 7.302904991346133 43.7384059879005, 7.306024016623248 43.7379338291327, 7.306162285464013 43.73780579525634, 7.306535299445462 43.73752698322935, 7.30676718098488 43.73735468960652, 7.306795166699334 43.73737971618963, 7.307107320259737 43.73772873489991, 7.307271231172936 43.73794123431256, 7.307319116743877 43.73801593945, 7.307575650525084 43.73841852688522, 7.307832801365017 43.73887876557185, 7.308269869642023 43.73974732778513, 7.308298749547566 43.74014721333354, 7.307655828784447 43.74091885404571, 7.305544727965025 43.74173778398224, 7.3035381791466 43.74178292181034, 7.301017051325378 43.74139867322005, 7.298379761005298 43.74123794445201, 7.298123648129144 43.74128681291764, 7.29817845603212 43.74118912236739, 7.298294494203994 43.74097996971424, 7.298323454897333 43.74090222502944, 7.298435972366347 43.74015835908386, 7.29835100195332 43.73958180481725, 7.298336678535707 43.73949045005658))",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2250,2
8,60880204,0.07,"POLYGON ((7.286690188255418 43.70043569405033, 7.286711267333883 43.70058445430411, 7.28632800587721 43.70254875719181, 7.286499411012262 43.7028637120553, 7.285756323182556 43.70309215805798, 7.285383370341435 43.70320418172649, 7.284574537833199 43.70345052999591, 7.283872669802444 43.70366562343938, 7.283666077046637 43.70329527838697, 7.283420323934168 43.70285697727483, 7.283171422999573 43.7024451529355, 7.282848491122381 43.70188113648886, 7.283573939309167 43.7016660213971, 7.284376653598194 43.70140460153081, 7.284334692899694 43.70115933942126, 7.284239239033666 43.70061429951304, 7.28478886753346 43.70057281620655, 7.285477766557724 43.70051682950195, 7.286690188255418 43.70043569405033))",0.0,0.0,6.0,1.0,4.0,5.0,0.0,2.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,8.0,0.0,1.0,2.0,4.0,3.0,0.0,0.0,0.0,22.0,0.0,1.0,2.0,1.0,1.0,3.0,1.0,0.0,5.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,14.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,2371,2
9,60882603,0.23,"POLYGON ((7.251272829185619 43.69845419539235, 7.2512381672944 43.69884033290544, 7.251227258382905 43.69897773112334, 7.251203014865714 43.69947069583507, 7.251199795924836 43.69964473976043, 7.251200032875511 43.69978170225396, 7.25117514438502 43.70001516691014, 7.251160764586425 43.70010584214646, 7.251143937413905 43.70021373454544, 7.25114074086454 43.70028775220463, 7.250792317028314 43.70021216224661, 7.250328954439102 43.70012754729022, 7.249965397798904 43.70000703927921, 7.249277411476029 43.69946486541581, 7.248858941310181 43.69913158097584, 7.248500312117708 43.69883470547081, 7.247845605265507 43.69817993449746, 7.24766198536297 43.69783116300256, 7.247543203243597 43.69746904490694, 7.2474538485026 43.69720219773342, 7.247420097612451 43.69713232725739, 7.247394834339572 43.69710988489106, 7.247694441809854 43.69704681611257, 7.247860463550294 43.69700788933207, 7.247519173123695 43.69619128586205, 7.247294391174353 43.6957395920714, 7.246937927937126 43.69523717216984, 7.24669552837738 43.69496639080324, 7.246479954354461 43.69475583772191, 7.246100790055813 43.69443272507255, 7.245484589612547 43.69396117116614, 7.245483284632799 43.69396032100184, 7.244686716068434 43.69335072562052, 7.244786815084047 43.69326030972318, 7.244899285802671 43.69320275220191, 7.246057242947205 43.69264028960047, 7.246181578685912 43.69262552117154, 7.246683453986471 43.69262754533394, 7.246946059746629 43.69266865128992, 7.248986414556568 43.69304399596103, 7.251074311039689 43.69360758221457, 7.251794282843425 43.6938704920025, 7.252444053574051 43.69409108679193, 7.252608344532159 43.69411259562299, 7.252501670914278 43.69416452786656, 7.252388561576431 43.69426357034768, 7.252218868057374 43.69447025770879, 7.252107907542055 43.69453136847884, 7.251930120226056 43.69454553063651, 7.251269008107011 43.69459030737438, 7.251177904513905 43.69460107871689, 7.251123847353195 43.69462572059276, 7.251020211545585 43.69470186295639, 7.250385788691785 43.6953736760039, 7.250134266317034 43.695799829271, 7.250165232472201 43.69618340005193, 7.250269519922479 43.69675153923706, 7.250412176615208 43.69732950825664, 7.251175334609718 43.69842917123752, 7.251272829185619 43.69845419539235))",0.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2066,2
