,ED_ID,light,cluster
0,267070,0.0,2
1,267090,0.0,2
2,268025,158.0,2
3,267158,0.0,1
4,267023,0.0,2
5,268043,298.0,2
6,267072,0.0,2
7,267069,0.0,2
8,268017,595.0,2
9,267083,0.0,2
10,268127,343.0,2
11,267002,0.0,1
12,268002,210.0,3
13,268062,220.0,2
14,268141,296.0,4
15,267155,28.0,2
16,267085,0.0,2
17,268073,231.0,2
18,268041,496.0,2
19,268087,239.0,2
20,268119,440.0,2
21,268018,325.0,2
22,268036,245.0,2
23,267120,0.0,1
24,267077,0.0,2
25,267111,0.0,2
26,267117,0.0,2
27,267146,0.0,2
28,268121,178.0,2
29,268100,245.0,2
30,267060,0.0,2
31,267058,0.0,2
32,268009,380.0,2
33,267103,0.0,2
34,268155,147.0,2
35,268157,327.0,2
36,268045,134.0,2
37,267156,18.0,2
38,268075,256.0,2
39,268140,445.0,4
40,268013,178.0,2
41,267032,0.0,2
42,268103,111.0,2
43,267151,0.0,2
44,268098,144.0,2
45,268095,213.0,2
46,268132,266.0,2
47,268106,629.0,4
48,268122,239.0,2
49,267087,0.0,2
50,267078,0.0,2
51,267022,2.0,2
52,268134,188.0,2
53,268031,233.0,2
54,268160,237.0,2
55,268019,144.0,2
56,268081,253.0,3
57,267005,13.0,2
58,267036,0.0,2
59,267108,18.0,2
60,268091,269.0,2
61,267123,0.0,2
62,268133,197.0,2
63,267001,23.0,2
64,267031,0.0,2
65,268125,221.0,2
66,267039,0.0,2
67,267093,0.0,1
68,268054,287.0,2
69,268048,249.0,2
70,267152,0.0,2
71,267130,20.0,2
72,267145,0.0,2
73,267160,1.0,2
74,267042,0.0,2
75,268067,417.0,2
76,267096,0.0,2
77,268072,502.0,2
78,267128,0.0,2
79,267054,0.0,1
80,267011,0.0,2
81,267048,0.0,2
82,267088,0.0,2
83,267137,0.0,2
84,268105,202.0,2
85,268049,303.0,2
86,267062,0.0,2
87,268089,300.0,2
88,268129,372.0,2
89,267086,0.0,2
90,268007,235.0,2
91,268114,311.0,2
92,267119,0.0,1
93,268029,210.0,2
94,268070,459.0,2
95,268060,253.0,2
96,267092,0.0,1
97,267045,1.0,2
98,267159,0.0,1
99,267114,0.0,2
100,267099,0.0,2
101,267109,11.0,2
102,268088,238.0,2
103,267076,0.0,2
104,268090,109.0,2
105,268034,196.0,2
106,268120,313.0,2
107,268005,266.0,2
108,267044,0.0,2
109,268066,321.0,2
110,267007,0.0,2
111,267061,0.0,2
112,267037,0.0,2
113,268135,207.0,2
114,267107,0.0,1
115,268053,157.0,2
116,267066,12.0,1
117,268071,800.0,2
118,268059,99.0,2
119,267009,0.0,2
120,267033,0.0,2
121,267133,0.0,1
122,267132,0.0,2
123,268108,468.0,2
124,267154,1.0,2
125,267003,0.0,2
126,268101,159.0,2
127,268030,564.0,3
128,267150,35.0,2
129,268042,538.0,2
130,268092,259.0,2
131,268012,267.0,2
132,267068,0.0,2
133,268004,188.0,2
134,268058,294.0,3
135,267006,0.0,1
136,268109,413.0,3
137,267080,0.0,2
138,268068,238.0,2
139,268015,355.0,2
140,268112,332.0,2
141,267113,0.0,2
142,268161,174.0,2
143,268118,158.0,2
144,267055,2.0,2
145,267046,0.0,2
146,268142,425.0,3
147,268010,256.0,2
148,267071,0.0,2
149,267147,0.0,2
150,268094,251.0,2
151,268146,140.0,2
152,268069,274.0,2
153,267073,0.0,2
154,267139,0.0,2
155,268001,124.0,2
156,267025,0.0,2
157,268016,557.0,2
158,267118,0.0,2
159,268020,196.0,2
160,267143,0.0,2
161,267051,0.0,2
162,268126,357.0,2
163,267053,0.0,2
164,268145,285.0,2
165,268086,176.0,2
166,267136,0.0,2
167,267116,0.0,2
168,267026,0.0,2
169,267157,0.0,2
170,267012,0.0,2
171,268093,169.0,2
172,268014,253.0,2
173,267089,0.0,2
174,267029,0.0,2
175,268006,784.0,2
176,268044,238.0,2
177,267124,0.0,2
178,268128,326.0,2
179,267102,0.0,2
180,268150,269.0,2
181,268040,273.0,2
182,268080,180.0,2
183,268076,293.0,2
184,268056,191.0,2
185,268061,365.0,2
186,267004,1.0,2
187,267142,0.0,2
188,267010,0.0,2
189,267110,0.0,2
190,268008,421.0,2
191,268055,173.0,2
192,268123,214.0,2
193,268104,296.0,3
194,268038,200.0,2
195,268144,260.0,2
196,267141,0.0,2
197,268021,203.0,2
198,268032,211.0,2
199,268139,160.0,3
200,268039,201.0,2
201,267056,4.0,2
202,268153,140.0,2
203,267018,0.0,2
204,268064,348.0,2
205,268096,509.0,3
206,267016,0.0,1
207,267131,0.0,2
208,268162,224.0,2
